"name";"temp_final";"dif_final";"cluster"
"Heterosigma akashiwo";20;0;2
"Hexamita sp. ";15;0;1
"Hincksia conifera";10;0;1
"Hincksia granulosa";10;0;1
"Hincksia hincksiae";10;0;1
"Hincksia intermedia";10;0;1
"Hincksia michelliae";10;0;1
"Hincksia mitchellae";10;0;1
"Hincksia mitchelliae";10;0.15625;1
"Hincksia onslowensis";10;0;1
"Hincksia ovata";10;0;1
"Hincksia sandriana";10;0;1
"Hincksia sp. no data ";10;1.66666666666667;1
"Hyalotheca dissiliens";20;0;2
"Hydrococcus rivularis";20;0;2
"Hydrodictyon reticulatum";20;0;2
"Hymenomonas coronata";15;0;1
"Hypnea flexicaulis";15;0;1
"Imantonia rotunda";20;1.25;2
"Interfilum paradoxum";20;0;2
"Iridaea ciliata";10;0;1
"Ishige okamurae";10;0;1
"Isochrysis galbana";20;0;2
"Ixipapillifera deasonii";20;0;2
"Ixipapillifera pauromitos";20;0;2
"Karenia mikimotoi";20;0;2
"Karenia papillionacea";20;0;2
"Karlodinium veneficum";20;0;2
"Kathablepharis japonica";20;0;2
"Katodinium sp.  ";20;0;2
"Kentrosphaera sp. ";20;0;2
"Kjellmaniella crassifolia";10;1.25;1
"Kjellmaniella gyrata";10;0;1
"Klebsormidium flaccidum";20;0;2
"Klebsormidium nitens";20;0;2
"Klebsormidium sp. ";20;0;2
"Korotnevella jeppesenii";20;0;2
"Korotnevella pelagolacustris";20;0;2
"Koshicola spirodelophila";20;0;2
"Kuckuckia kylinii";10;0;1
"Kuckuckia sp. ";10;0;1
"Kuckuckia sp. no data ";10;0.5;1
"Kuckuckia spinosa";10;0;1
"Lagerheimia ciliata";20;0;2
"Lagynion subglobosum";20;0;2
"Laminaria angustata";15;0;1
"Laminaria corr";10;0;1
"Laminaria digitata";10;0;1
"Laminaria hyperborea";10;0;1
"Laminaria japonica";10;0;1
"Laminaria pallida";10;0;1
"Laminaria saccharina";10;0;1
"Laminarionema elsbetiae";10;0;1
"Lamprothamnium succinctum";20;0;2
"Leathesia japonica";10;0;1
"Leiocephalium pseudosanguineum";20;0;2
"Lejolisia hoshawii";15;0;1
"Lepidodinium chlorophorum";20;0;2
"Lepidodinium sp. ";15;0;1
"Leptolyngbya boryana";20;0;2
"Leptolyngbya sp. ";20;0;2
"Leptolyngbya sp.  ";20;0;2
"Leptonematella fasciculata";10;0;1
"Lessonia corrugata";10;0;1
"Lessonia nigrescens";10;0;1
"Lessonia variegata";10;0;1
"Leucocryptos marina";20;0;2
"Liagora sp. ";15;0;1
"Limnothrix redekei";22;0;2
"Limnothrix sp. ";20;0;2
"Lithodesmium variabile";15;0;1
"Lobochlamys culleus ";20;0;2
"Lobochlamys segnis";20;0;2
"Lobomonas monstruosa";20;0;2
"Lobomonas piriformis";20;0;2
"Lotharella reticulosa";20;0;2
"Luteocerasus tetraplastida";20;0;2
"Macrocystis angustifolia";10;0;1
"Macrocystis integrifolia";10;0;1
"Macrocystis pyrifera";10;0;1
"Mallomonas sp. ";20;0;2
"Mamiella sp. ";17.5;2.5;2
