name,temp_final,dif_final,cluster
Ambrosiella sulcati,24,0,1
Ambrosiella sulfurea,25,0,1
Ambrosiella xylebori,24,0,1
Aminiphilus circumscriptus,37,0,2
Aminivibrio pyruvatiphilus,37,0,2
Aminobacter aganoensis,30,0,1
Aminobacter aminovorans,30,0,1
Aminobacter ciceronei,28,0,1
Aminobacter lissarensis,28,0,1
Aminobacter niigataensis,30,0,1
Aminobacter sp.,20,3.333333333,1
Aminobacterium colombiense,37,0,2
Aminobacterium mobile,37,0,2
Aminomonas paucivorans,37,0,2
Ammonifex degensii,70,0,3
Ammonifex thiophilus,70,0,3
Ammoniphilus oxalaticus,30,0,1
Ammoniphilus oxalivorans,30,0,1
Amnibacterium kyonggiense,28,0,1
Amorphus coralli,28,0,1
Amorphus orientalis,28,0,1
Amorphus suaedae,28,0,1
Ampelomyces quisqualis,20,1.333333333,1
Amphibacillus cookii,37,0,2
Amphibacillus fermentum,37,0,2
Amphibacillus indicireducens,35,0,2
Amphibacillus jilinensis,30,0,1
Amphibacillus marinus,30,0,1
Amphibacillus sediminis,30,0,1
Amphibacillus tropicus,36,1,2
Amphibacillus xylanus,37,0,2
Amphiporthe leiphaemia,20,0,1
Amphritea atlantica,28,0,1
Amycolatopsis alba,28,0,1
Amycolatopsis albidoflavus,28,0,1
