 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602809370.5963583]         [Thread #36]      Creating output directories...
[1602809370.5977898]         [Thread #36]      Translating reads...
[1602809390.2245255]         [Thread #36]      Running DIAMOND...
[1602809396.1409934]         [Thread #36]      Converting DIAMOND...
[1602809396.235333]          [Thread #36]      Parsing DIAMOND...
[1602809396.4725423]         [Thread #36]      Annotating...
[1602809396.7962928]         [Thread #36]      Analyzing...
[1602809397.0885735]         [Thread #36]      Create read mapping...
[1602809412.321644]          [Thread #36]    - [Thread #36] finished
[1602809392.5663338]         [Thread #37]    - [Thread #37] running on [1/28] CPUs
[1602809392.5664153]         [Thread #37]      Creating output directories...
[1602809392.570503]          [Thread #37]      Translating reads...
[1602809412.219042]          [Thread #37]      Running DIAMOND...
[1602809418.1575966]         [Thread #37]      Converting DIAMOND...
[1602809418.284907]          [Thread #37]      Parsing DIAMOND...
[1602809418.4879472]         [Thread #37]      Annotating...
[1602809418.8463552]         [Thread #37]      Analyzing...
[1602809418.9945524]         [Thread #37]      Create read mapping...
[1602809433.5930848]         [Thread #37]    - [Thread #37] finished
[1602809414.6220584]         [Thread #38]    - [Thread #38] running on [1/28] CPUs
[1602809414.6221387]         [Thread #38]      Creating output directories...
[1602809414.6235135]         [Thread #38]      Translating reads...
[1602809433.53569]           [Thread #38]      Running DIAMOND...
[1602809439.4643993]         [Thread #38]      Converting DIAMOND...
[1602809439.5883942]         [Thread #38]      Parsing DIAMOND...
[1602809439.930356]          [Thread #38]      Annotating...
[1602809440.2849069]         [Thread #38]      Analyzing...
[1602809440.4550607]         [Thread #38]      Create read mapping...
[1602809455.6143618]         [Thread #38]    - [Thread #38] finished
[1602809435.9488513]         [Thread #39]    - [Thread #39] running on [1/28] CPUs
[1602809435.9489334]         [Thread #39]      Creating output directories...
[1602809435.9504452]         [Thread #39]      Translating reads...
[1602809455.5773191]         [Thread #39]      Running DIAMOND...
[1602809461.550056]          [Thread #39]      Converting DIAMOND...
[1602809461.6507714]         [Thread #39]      Parsing DIAMOND...
[1602809461.8145547]         [Thread #39]      Annotating...
[1602809462.1521142]         [Thread #39]      Analyzing...
[1602809462.4256282]         [Thread #39]      Create read mapping...
[1602809477.0881286]         [Thread #39]    - [Thread #39] finished
[1602809457.945316]          [Thread #40]    - [Thread #40] running on [1/28] CPUs
[1602809457.9453998]         [Thread #40]      Creating output directories...
[1602809457.9468906]         [Thread #40]      Translating reads...
[1602809477.63719]           [Thread #40]      Running DIAMOND...
[1602809483.5724003]         [Thread #40]      Converting DIAMOND...
[1602809483.6633701]         [Thread #40]      Parsing DIAMOND...
[1602809483.855738]          [Thread #40]      Annotating...
[1602809483.9715784]         [Thread #40]      Analyzing...
[1602809484.166705]          [Thread #40]      Create read mapping...
[1602809499.3640323]         [Thread #40]    - [Thread #40] finished
[1602809479.7821245]         [Thread #41]    - [Thread #41] running on [1/28] CPUs
[1602809479.7822094]         [Thread #41]      Creating output directories...
[1602809479.7839012]         [Thread #41]      Translating reads...
[1602809499.33851]           [Thread #41]      Running DIAMOND...
[1602809505.193199]          [Thread #41]      Converting DIAMOND...
[1602809505.2890334]         [Thread #41]      Parsing DIAMOND...
[1602809505.4871085]         [Thread #41]      Annotating...
[1602809505.7684336]         [Thread #41]      Analyzing...
[1602809506.1473477]         [Thread #41]      Create read mapping...
[1602809523.4956143]         [Thread #41]    - [Thread #41] finished
[1602809501.6779609]         [Thread #42]    - [Thread #42] running on [1/28] CPUs
[1602809501.6780422]         [Thread #42]      Creating output directories...
[1602809501.679493]          [Thread #42]      Translating reads...
[1602809523.4861622]         [Thread #42]      Running DIAMOND...
[1602809529.3790953]         [Thread #42]      Converting DIAMOND...
[1602809529.47967]           [Thread #42]      Parsing DIAMOND...
[1602809529.6563375]         [Thread #42]      Annotating...
[1602809529.8901339]         [Thread #42]      Analyzing...
[1602809530.1696541]         [Thread #42]      Create read mapping...
[1602809545.04175]           [Thread #42]    - [Thread #42] finished
[1602809526.0835977]         [Thread #43]    - [Thread #43] running on [1/28] CPUs
[1602809526.0836794]         [Thread #43]      Creating output directories...
[1602809526.0851197]         [Thread #43]      Translating reads...
[1602809545.00681]           [Thread #43]      Running DIAMOND...
[1602809550.9093153]         [Thread #43]      Converting DIAMOND...
[1602809551.0070362]         [Thread #43]      Parsing DIAMOND...
[1602809551.1453493]         [Thread #43]      Annotating...
[1602809551.3173385]         [Thread #43]      Analyzing...
[1602809551.5924087]         [Thread #43]      Create read mapping...
[1602809566.4475436]         [Thread #43]    - [Thread #43] finished
[1602809547.3681867]         [Thread #44]    - [Thread #44] running on [1/28] CPUs
[1602809547.368307]          [Thread #44]      Creating output directories...
[1602809547.37032]           [Thread #44]      Translating reads...
[1602809566.4389243]         [Thread #44]      Running DIAMOND...
[1602809572.285068]          [Thread #44]      Converting DIAMOND...
[1602809572.392668]          [Thread #44]      Parsing DIAMOND...
[1602809572.6345274]         [Thread #44]      Annotating...
[1602809572.9126303]         [Thread #44]      Analyzing...
[1602809573.2027988]         [Thread #44]      Create read mapping...
[1602809586.6222122]         [Thread #44]    - [Thread #44] finished
[1602809569.0991383]         [Thread #45]    - [Thread #45] running on [1/28] CPUs
[1602809569.099223]          [Thread #45]      Creating output directories...
[1602809569.1007211]         [Thread #45]      Translating reads...
[1602809588.4981542]         [Thread #45]      Running DIAMOND...
[1602809594.4172957]         [Thread #45]      Converting DIAMOND...
[1602809594.510821]          [Thread #45]      Parsing DIAMOND...
[1602809594.66025]           [Thread #45]      Annotating...
[1602809594.7916334]         [Thread #45]      Analyzing...
[1602809595.0915756]         [Thread #45]      Create read mapping...
[1602809610.1028855]         [Thread #45]    - [Thread #45] finished
[1602809590.8050182]         [Thread #46]    - [Thread #46] running on [1/28] CPUs
[1602809590.8051023]         [Thread #46]      Creating output directories...
[1602809590.8066754]         [Thread #46]      Translating reads...
[1602809610.0614917]         [Thread #46]      Running DIAMOND...
[1602809615.974143]          [Thread #46]      Converting DIAMOND...
[1602809616.1054595]         [Thread #46]      Parsing DIAMOND...
[1602809616.242118]          [Thread #46]      Annotating...
[1602809616.5647416]         [Thread #46]      Analyzing...
[1602809616.8525674]         [Thread #46]      Create read mapping...
[1602809631.4622695]         [Thread #46]    - [Thread #46] finished
[1602809612.4711983]         [Thread #47]    - [Thread #47] running on [1/28] CPUs
[1602809612.471324]          [Thread #47]      Creating output directories...
[1602809612.4726963]         [Thread #47]      Translating reads...
[1602809631.4358554]         [Thread #47]      Running DIAMOND...
[1602809637.378687]          [Thread #47]      Converting DIAMOND...
[1602809637.5005727]         [Thread #47]      Parsing DIAMOND...
[1602809637.664359]          [Thread #47]      Annotating...
