 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602771707.6652663]         [Thread #52]      Analyzing...
[1602771707.819575]          [Thread #52]      Create read mapping...
[1602771722.982265]          [Thread #52]    - [Thread #52] finished
[1602771703.2690084]         [Thread #53]    - [Thread #53] running on [1/28] CPUs
[1602771703.2690961]         [Thread #53]      Creating output directories...
[1602771703.272453]          [Thread #53]      Translating reads...
[1602771722.917167]          [Thread #53]      Running DIAMOND...
[1602771728.8837268]         [Thread #53]      Converting DIAMOND...
[1602771729.012063]          [Thread #53]      Parsing DIAMOND...
[1602771729.1745207]         [Thread #53]      Annotating...
[1602771729.4103389]         [Thread #53]      Analyzing...
[1602771729.7051528]         [Thread #53]      Create read mapping...
[1602771743.8389838]         [Thread #53]    - [Thread #53] finished
[1602771725.0083697]         [Thread #54]    - [Thread #54] running on [1/28] CPUs
[1602771725.0084417]         [Thread #54]      Creating output directories...
[1602771725.0113657]         [Thread #54]      Translating reads...
[1602771743.81787]           [Thread #54]      Running DIAMOND...
[1602771749.8938866]         [Thread #54]      Converting DIAMOND...
[1602771750.0073705]         [Thread #54]      Parsing DIAMOND...
[1602771750.1857867]         [Thread #54]      Annotating...
[1602771750.3423128]         [Thread #54]      Analyzing...
[1602771750.6057813]         [Thread #54]      Create read mapping...
[1602771764.8972688]         [Thread #54]    - [Thread #54] finished
[1602771809.3727796]         [Thread #58]    - [Thread #58] running on [1/28] CPUs
[1602771809.3729038]         [Thread #58]      Creating output directories...
[1602771809.3757539]         [Thread #58]      Translating reads...
[1602771828.4606476]         [Thread #58]      Running DIAMOND...
[1602771834.4687796]         [Thread #58]      Converting DIAMOND...
[1602771834.584176]          [Thread #58]      Parsing DIAMOND...
[1602771834.7407157]         [Thread #58]      Annotating...
[1602771834.9668972]         [Thread #58]      Analyzing...
[1602771835.27106]           [Thread #58]      Create read mapping...
[1602771849.7075768]         [Thread #58]    - [Thread #58] finished
[1602771851.6826038]         [Thread #60]    - [Thread #60] running on [1/28] CPUs
[1602771851.682722]          [Thread #60]      Creating output directories...
[1602771851.6864982]         [Thread #60]      Translating reads...
[1602771871.2740982]         [Thread #60]      Running DIAMOND...
[1602771877.273148]          [Thread #60]      Converting DIAMOND...
[1602771877.3956509]         [Thread #60]      Parsing DIAMOND...
[1602771877.563324]          [Thread #60]      Annotating...
[1602771877.5778768]         [Thread #60]      Analyzing...
[1602771877.5879154]         [Thread #60]      Create read mapping...
[1602771892.6752307]         [Thread #60]    - [Thread #60] finished
[1602771873.485339]          [Thread #61]    - [Thread #61] running on [1/28] CPUs
[1602771873.4854193]         [Thread #61]      Creating output directories...
[1602771873.4888723]         [Thread #61]      Translating reads...
[1602771892.612892]          [Thread #61]      Running DIAMOND...
[1602771898.6077843]         [Thread #61]      Converting DIAMOND...
[1602771898.7168057]         [Thread #61]      Parsing DIAMOND...
[1602771898.9263015]         [Thread #61]      Annotating...
[1602771899.1111867]         [Thread #61]      Analyzing...
[1602771899.3208723]         [Thread #61]      Create read mapping...
[1602771913.1979313]         [Thread #61]    - [Thread #61] finished
[1602771915.32759]           [Thread #63]    - [Thread #63] running on [1/28] CPUs
[1602771915.3277135]         [Thread #63]      Creating output directories...
[1602771915.3308918]         [Thread #63]      Translating reads...
[1602771935.0010574]         [Thread #63]      Running DIAMOND...
[1602771941.1310115]         [Thread #63]      Converting DIAMOND...
[1602771941.2607822]         [Thread #63]      Parsing DIAMOND...
[1602771941.5204475]         [Thread #63]      Annotating...
[1602771941.6035]            [Thread #63]      Analyzing...
[1602771941.8816116]         [Thread #63]      Create read mapping...
[1602771956.2084167]         [Thread #63]    - [Thread #63] finished
[1602771937.1100354]         [Thread #64]    - [Thread #64] running on [1/28] CPUs
[1602771937.1101153]         [Thread #64]      Creating output directories...
[1602771937.1133013]         [Thread #64]      Translating reads...
[1602771956.1770284]         [Thread #64]      Running DIAMOND...
[1602771962.1312842]         [Thread #64]      Converting DIAMOND...
[1602771962.2484598]         [Thread #64]      Parsing DIAMOND...
[1602771962.389358]          [Thread #64]      Annotating...
[1602771962.687294]          [Thread #64]      Analyzing...
[1602771962.825734]          [Thread #64]      Create read mapping...
[1602771977.8342278]         [Thread #64]    - [Thread #64] finished
[1602771979.866822]          [Thread #66]    - [Thread #66] running on [1/28] CPUs
[1602771979.8669033]         [Thread #66]      Creating output directories...
[1602771979.8697343]         [Thread #66]      Translating reads...
[1602771999.1592457]         [Thread #66]      Running DIAMOND...
[1602772005.2066498]         [Thread #66]      Converting DIAMOND...
[1602772005.2940118]         [Thread #66]      Parsing DIAMOND...
[1602772005.545706]          [Thread #66]      Annotating...
[1602772005.860402]          [Thread #66]      Analyzing...
[1602772006.1535594]         [Thread #66]      Create read mapping...
[1602772020.7014787]         [Thread #66]    - [Thread #66] finished
[1602772001.382443]          [Thread #67]    - [Thread #67] running on [1/28] CPUs
[1602772001.3825216]         [Thread #67]      Creating output directories...
[1602772001.385572]          [Thread #67]      Translating reads...
[1602772020.611905]          [Thread #67]      Running DIAMOND...
[1602772026.6144364]         [Thread #67]      Converting DIAMOND...
[1602772026.7459664]         [Thread #67]      Parsing DIAMOND...
[1602772026.9302814]         [Thread #67]      Annotating...
[1602772027.096179]          [Thread #67]      Analyzing...
[1602772027.3917036]         [Thread #67]      Create read mapping...
[1602772041.254016]          [Thread #67]    - [Thread #67] finished
[1602772022.7852829]         [Thread #68]    - [Thread #68] running on [1/28] CPUs
[1602772022.785364]          [Thread #68]      Creating output directories...
[1602772022.7885635]         [Thread #68]      Translating reads...
[1602772041.1808693]         [Thread #68]      Running DIAMOND...
[1602772047.29493]           [Thread #68]      Converting DIAMOND...
[1602772047.4028203]         [Thread #68]      Parsing DIAMOND...
[1602772047.5508204]         [Thread #68]      Annotating...
[1602772047.836442]          [Thread #68]      Analyzing...
[1602772048.033359]          [Thread #68]      Create read mapping...
[1602772063.0205774]         [Thread #68]    - [Thread #68] finished
