ksize,stride,n_layers,n_hid,drop_mult,wd,moms,emb_sz,bptt,lrate,bs,accuracy
1,1,3,576,1.0,0.001,(0.9, 0.8),104,75,0.002,512,0.3179572522640228
1,1,4,576,0.1,0.001,(0.9, 0.8),128,75,0.01,512,0.25308844447135925
1,1,4,576,0.1,0.001,(0.9, 0.8),128,75,0.01,512,0.25308844447135925
1,1,4,1152,1.0,0.01,(0.8, 0.7),56,125,0.002,512,0.2531660199165344
1,1,4,1152,1.0,0.01,(0.8, 0.7),56,125,0.002,512,0.2531660199165344
1,1,3,576,0.1,0.001,(0.98, 0.9),128,125,0.01,1024,0.2566831409931183
1,1,3,576,0.1,0.001,(0.98, 0.9),128,125,0.01,1024,0.2566831409931183
1,1,2,1152,0.1,0.1,(0.8, 0.7),104,100,0.005,1024,0.30427342653274536
1,1,2,1152,0.1,0.1,(0.8, 0.7),104,100,0.005,1024,0.30427342653274536
1,1,3,1152,0.1,0.1,(0.9, 0.8),128,125,0.005,512,0.25465625524520874
1,1,3,1152,0.1,0.1,(0.9, 0.8),128,125,0.005,512,0.25465625524520874
1,1,4,1152,0.1,0.01,(0.8, 0.7),128,75,0.01,512,0.2530869245529175
1,1,4,1152,0.1,0.01,(0.8, 0.7),128,75,0.01,512,0.2530869245529175
1,1,4,1152,1.0,0.1,(0.8, 0.7),104,125,0.01,512,0.2531660199165344
1,1,4,1152,1.0,0.1,(0.8, 0.7),104,125,0.01,512,0.2531660199165344
1,1,3,576,1.0,0.1,(0.8, 0.7),128,100,0.01,512,0.32179197669029236
1,1,3,576,1.0,0.1,(0.8, 0.7),128,100,0.01,512,0.32179197669029236
1,1,3,1152,1.0,0.001,(0.9, 0.8),56,125,0.01,512,0.2800922989845276
1,1,3,1152,1.0,0.001,(0.9, 0.8),56,125,0.01,512,0.2800922989845276
1,1,2,1152,0.1,0.01,(0.9, 0.8),104,100,0.002,512,0.32276999950408936
1,1,2,1152,0.1,0.01,(0.9, 0.8),104,100,0.002,512,0.32276999950408936
1,1,2,1152,1.0,0.01,(0.98, 0.9),56,75,0.002,1024,0.297244131565094
1,1,2,1152,1.0,0.01,(0.98, 0.9),56,75,0.002,1024,0.297244131565094
1,1,3,1152,0.1,0.01,(0.98, 0.9),104,100,0.01,512,0.3203265964984894
1,1,3,1152,0.1,0.01,(0.98, 0.9),104,100,0.01,512,0.3203265964984894
1,1,4,576,1.0,0.001,(0.9, 0.8),104,125,0.002,512,0.295399934053421
1,1,4,576,1.0,0.001,(0.9, 0.8),104,125,0.002,512,0.295399934053421
1,1,4,576,0.1,0.01,(0.98, 0.9),56,75,0.005,512,0.25308844447135925
1,1,4,576,0.1,0.01,(0.98, 0.9),56,75,0.005,512,0.25308844447135925
1,1,2,1152,0.1,0.001,(0.98, 0.9),128,125,0.005,1024,0.28974610567092896
1,1,2,1152,0.1,0.001,(0.98, 0.9),128,125,0.005,1024,0.28974610567092896
1,1,3,576,0.1,0.001,(0.98, 0.9),128,75,0.01,1024,0.2782311737537384
1,1,3,576,0.1,0.001,(0.98, 0.9),128,75,0.01,1024,0.2782311737537384
1,1,3,1152,1.0,0.1,(0.8, 0.7),56,75,0.002,1024,0.3107086718082428
1,1,3,1152,1.0,0.1,(0.8, 0.7),56,75,0.002,1024,0.3107086718082428
1,1,2,1152,1.0,0.001,(0.8, 0.7),128,75,0.002,1024,0.3231154978275299
1,1,2,1152,1.0,0.001,(0.8, 0.7),128,75,0.002,1024,0.3231154978275299
1,1,4,1152,0.1,0.01,(0.8, 0.7),128,125,0.01,512,0.25355130434036255
1,1,4,1152,0.1,0.01,(0.8, 0.7),128,125,0.01,512,0.25355130434036255
1,1,3,1152,0.1,0.001,(0.98, 0.9),104,75,0.002,1024,0.31046172976493835
1,1,3,1152,0.1,0.001,(0.98, 0.9),104,75,0.002,1024,0.31046172976493835
1,1,3,576,0.1,0.01,(0.98, 0.9),104,100,0.002,512,0.3134077191352844
1,1,3,576,0.1,0.01,(0.98, 0.9),104,100,0.002,512,0.3134077191352844
1,1,2,1152,0.1,0.001,(0.9, 0.8),128,75,0.01,512,0.32933348417282104
1,1,2,1152,0.1,0.001,(0.9, 0.8),128,75,0.01,512,0.32933348417282104
1,1,4,576,1.0,0.001,(0.8, 0.7),56,75,0.002,1024,0.2569100558757782
1,1,4,576,1.0,0.001,(0.8, 0.7),56,75,0.002,1024,0.2569100558757782
1,1,4,1152,1.0,0.01,(0.9, 0.8),104,100,0.002,512,0.003871093736961484
1,1,4,1152,1.0,0.01,(0.9, 0.8),104,100,0.002,512,0.003871093736961484
1,1,4,1152,1.0,0.01,(0.98, 0.9),128,125,0.01,1024,0.25358057022094727
1,1,4,1152,1.0,0.01,(0.98, 0.9),128,125,0.01,1024,0.25358057022094727
1,1,3,1152,0.1,0.1,(0.8, 0.7),56,125,0.002,1024,0.2746528387069702
1,1,3,1152,0.1,0.1,(0.8, 0.7),56,125,0.002,1024,0.2746528387069702
1,1,2,576,1.0,0.001,(0.9, 0.8),56,100,0.002,1024,0.28690773248672485
1,1,2,576,1.0,0.001,(0.9, 0.8),56,100,0.002,1024,0.28690773248672485
1,1,2,1152,0.1,0.01,(0.98, 0.9),56,100,0.01,1024,0.2834555506706238
1,1,2,1152,0.1,0.01,(0.98, 0.9),56,100,0.01,1024,0.2834555506706238
1,1,2,576,0.1,0.001,(0.98, 0.9),128,125,0.002,512,0.3207353949546814
