ksize,stride,n_layers,n_hid,drop_mult,wd,moms,emb_sz,bptt,lrate,bs,accuracy
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.2525430917739868
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.2525430917739868
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.2524470090866089
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.2524470090866089
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.3467073142528534
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.3467073142528534
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.2525430917739868
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.2525430917739868
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.34604960680007935
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.34604960680007935
1,1,4,1152,1.0,0.0001,(0.8, 0.7),125,150,0.008,1024,0.0022972472943365574
1,1,4,1152,1.0,0.0001,(0.8, 0.7),125,150,0.008,1024,0.0022972472943365574
1,1,3,1152,1.0,0.0001,(0.9, 0.8),100,125,0.005,1024,0.33285877108573914
1,1,3,1152,1.0,0.0001,(0.9, 0.8),100,125,0.005,1024,0.33285877108573914
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.002301277592778206
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.002301277592778206
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.2525430917739868
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.2525430917739868
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.0022996878251433372
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.0022996878251433372
1,1,4,1152,1.0,0.0001,(0.8, 0.7),125,150,0.008,1024,0.2523597478866577
1,1,4,1152,1.0,0.0001,(0.8, 0.7),125,150,0.008,1024,0.2523597478866577
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.2546229958534241
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.2546229958534241
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.3485475778579712
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.3485475778579712
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.2525443434715271
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.2525443434715271
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.252446711063385
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.252446711063385
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.2524309456348419
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.2524309456348419
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.3472677171230316
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.3472677171230316
1,1,3,1152,1.0,0.0001,(0.9, 0.8),100,125,0.005,1024,0.25251826643943787
1,1,3,1152,1.0,0.0001,(0.9, 0.8),100,125,0.005,1024,0.25251826643943787
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.3482253849506378
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.3482253849506378
1,1,3,1152,1.0,0.0001,(0.9, 0.8),100,125,0.005,1024,0.3414473235607147
1,1,3,1152,1.0,0.0001,(0.9, 0.8),100,125,0.005,1024,0.3414473235607147
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.32268548011779785
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.32268548011779785
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.3477719724178314
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.3477719724178314
