,t-SNE1,t-SNE2,metaseek_env_package
399,-1.5422571,10.442067,host-associated
400,-4.949709,8.8736725,host-associated
401,-0.8631941,7.968583,host-associated
402,7.254744,-5.5245476,host-associated
403,3.8039455,-1.4893275,host-associated
404,-5.0802207,8.704355,host-associated
405,-4.9912176,-5.5772734,host-associated
406,-5.740231,-7.8673925,host-associated
407,-3.1567779,7.1487417,host-associated
408,-4.859949,4.658071,host-associated
409,-2.419313,4.8689837,host-associated
410,-4.558577,5.365016,host-associated
411,-1.4136012,10.140291,host-associated
412,-1.6949443,10.422084,host-associated
413,-6.277147,-7.048114,host-associated
414,-3.8240976,5.1744976,host-associated
415,6.039117,-5.692361,host-associated
416,-3.580567,7.485542,host-associated
417,-2.8566742,1.6732804,host-associated
418,3.1782618,-1.6032835,host-associated
419,-0.6133118,8.921857,host-associated
420,-5.076114,4.5746303,host-associated
421,-1.455431,-7.452926,host-associated
422,-2.984804,6.5248175,host-associated
423,-2.121784,9.58863,host-associated
424,-3.8682716,8.285825,host-associated
425,-4.840775,9.104795,host-associated
426,-3.4636664,7.579061,host-associated
427,-1.4938016,3.731673,host-associated
428,-4.7525916,4.6086082,host-associated
429,-2.103299,-7.4273257,host-associated
430,-1.3865272,6.356037,host-associated
431,-3.4538426,8.002674,host-associated
432,-7.931364,-4.8542914,host-associated
433,-2.5738916,6.9559155,host-associated
434,-0.6347125,8.517778,host-associated
435,-1.3223212,10.004225,host-associated
436,-0.80594236,7.736733,host-associated
437,1.2347296,1.625991,host-associated
438,5.2294445,-5.597741,host-associated
439,-6.317315,-6.9882445,host-associated
440,-0.73040724,-6.5071087,host-associated
441,0.39642286,2.4550183,host-associated
442,-4.2495217,9.37803,host-associated
443,-6.492053,3.7873292,host-associated
444,-3.5436144,8.021346,host-associated
445,-0.70203036,9.2123,host-associated
446,-6.273277,6.7157993,host-associated
447,-6.739311,-2.388018,host-associated
448,-4.5211644,4.916853,host-associated
449,-3.8673148,7.927932,host-associated
450,-5.415436,-7.2466917,host-associated
451,-0.8911171,6.72176,host-associated
452,-1.0946605,9.613109,host-associated
453,-3.821323,5.338533,host-associated
454,-1.2569703,9.972931,host-associated
455,-6.903922,-5.4816833,host-associated
456,-4.2300673,9.089662,host-associated
457,-2.0815399,-6.8699255,host-associated
458,-3.2972057,7.3943048,host-associated
459,-3.8175836,8.312172,host-associated
460,6.457905,-5.526943,host-associated
461,-4.2796354,5.057285,host-associated
462,-3.565492,6.0418563,host-associated
463,6.8421783,-4.228068,host-associated
464,-1.3580972,10.136288,host-associated
465,-0.89235365,-2.7861464,host-associated
466,-5.081134,4.573039,host-associated
467,7.7594733,5.2788033,host-associated
468,-3.8379328,7.949672,host-associated
469,-3.0496056,7.5121117,host-associated
470,-4.4551067,5.265688,host-associated
471,-4.4931374,9.21997,host-associated
472,7.254352,-6.05796,host-associated
473,-7.0477595,-6.667381,host-associated
474,-1.2878964,10.015636,host-associated
475,6.7488985,-4.9816027,host-associated
476,-2.6170113,4.753592,host-associated
477,-6.040339,-7.5683074,host-associated
478,5.390786,-5.237236,host-associated
479,-2.1948793,3.8535225,host-associated
480,3.4805574,-4.98279,host-associated
481,-7.964359,-4.747845,host-associated
482,-3.9494715,8.123484,host-associated
483,-4.290008,5.071708,host-associated
484,-2.7518196,1.8060727,host-associated
485,3.040554,0.19291969,host-associated
486,-1.5036458,8.364815,host-associated
487,0.044156775,2.610056,host-associated
488,-5.6755023,-6.067646,host-associated
489,-1.5272236,-8.045472,host-associated
490,-1.612488,-8.293882,host-associated
491,-4.1238675,4.961546,host-associated
492,-0.6173171,7.841996,host-associated
493,-4.783171,9.195635,host-associated
494,-2.6364095,6.616133,host-associated
495,-3.3735728,7.7853584,host-associated
496,5.251563,-5.5426636,host-associated
497,-6.73552,-6.2373357,host-associated
498,-1.8010263,1.5816933,host-associated
499,-3.4457755,7.2088284,host-associated
500,-7.8975945,-5.140581,host-associated
501,-2.5684338,-5.8009486,host-associated
502,-0.54410213,8.70471,host-associated
503,-4.885166,5.1864686,host-associated
504,-1.3960335,10.164284,host-associated
505,-3.2579417,7.7699504,host-associated
506,-3.8439684,8.27902,host-associated
507,-0.68429154,7.5106807,host-associated
508,-6.808287,-5.348146,host-associated
509,7.134994,-5.8634853,host-associated
510,-3.337816,7.0954742,host-associated
511,-5.1870394,8.419935,host-associated
512,-3.732401,4.8592496,host-associated
513,-4.6884956,4.896811,host-associated
514,4.96658,-4.918494,host-associated
515,-2.6170828,-6.2692966,host-associated
516,-2.9393783,6.539642,host-associated
517,-3.2976875,7.0044184,host-associated
518,-1.7819253,-8.561577,host-associated
