 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602775731.9301507]         [Thread #34]      Parsing DIAMOND...
[1602775732.3628933]         [Thread #34]      Annotating...
[1602775732.545097]          [Thread #34]      Analyzing...
[1602775732.7875412]         [Thread #34]      Create read mapping...
[1602775747.7639716]         [Thread #34]    - [Thread #34] finished
[1602775727.8000753]         [Thread #35]    - [Thread #35] running on [1/28] CPUs
[1602775727.8001697]         [Thread #35]      Creating output directories...
[1602775727.802279]          [Thread #35]      Translating reads...
[1602775747.7434309]         [Thread #35]      Running DIAMOND...
[1602775753.617689]          [Thread #35]      Converting DIAMOND...
[1602775753.7531815]         [Thread #35]      Parsing DIAMOND...
[1602775753.9253666]         [Thread #35]      Annotating...
[1602775754.179577]          [Thread #35]      Analyzing...
[1602775754.3162694]         [Thread #35]      Create read mapping...
[1602775769.4393876]         [Thread #35]    - [Thread #35] finished
[1602775749.8031933]         [Thread #36]    - [Thread #36] running on [1/28] CPUs
[1602775749.8032753]         [Thread #36]      Creating output directories...
[1602775749.8047645]         [Thread #36]      Translating reads...
[1602775769.4199338]         [Thread #36]      Running DIAMOND...
[1602775775.3694131]         [Thread #36]      Converting DIAMOND...
[1602775775.4958246]         [Thread #36]      Parsing DIAMOND...
[1602775775.6809976]         [Thread #36]      Annotating...
[1602775775.8154206]         [Thread #36]      Analyzing...
[1602775776.046343]          [Thread #36]      Create read mapping...
[1602775791.0481675]         [Thread #36]    - [Thread #36] finished
[1602775771.4673228]         [Thread #37]    - [Thread #37] running on [1/28] CPUs
[1602775771.467406]          [Thread #37]      Creating output directories...
[1602775771.4685476]         [Thread #37]      Translating reads...
[1602775791.0105047]         [Thread #37]      Running DIAMOND...
[1602775797.0283084]         [Thread #37]      Converting DIAMOND...
[1602775797.1300383]         [Thread #37]      Parsing DIAMOND...
[1602775797.4108906]         [Thread #37]      Annotating...
[1602775797.5629957]         [Thread #37]      Analyzing...
[1602775797.8597174]         [Thread #37]      Create read mapping...
[1602775812.4816916]         [Thread #37]    - [Thread #37] finished
[1602775793.1600246]         [Thread #38]    - [Thread #38] running on [1/28] CPUs
[1602775793.1601179]         [Thread #38]      Creating output directories...
[1602775793.161673]          [Thread #38]      Translating reads...
[1602775812.9278364]         [Thread #38]      Running DIAMOND...
[1602775818.7847724]         [Thread #38]      Converting DIAMOND...
[1602775818.8703027]         [Thread #38]      Parsing DIAMOND...
[1602775819.0846066]         [Thread #38]      Annotating...
[1602775819.4477944]         [Thread #38]      Analyzing...
[1602775819.533629]          [Thread #38]      Create read mapping...
[1602775833.758778]          [Thread #38]    - [Thread #38] finished
[1602775814.9554482]         [Thread #39]    - [Thread #39] running on [1/28] CPUs
[1602775814.9555387]         [Thread #39]      Creating output directories...
[1602775814.9575078]         [Thread #39]      Translating reads...
[1602775833.6749077]         [Thread #39]      Running DIAMOND...
[1602775839.5684907]         [Thread #39]      Converting DIAMOND...
[1602775839.6659687]         [Thread #39]      Parsing DIAMOND...
[1602775839.872699]          [Thread #39]      Annotating...
[1602775840.1120706]         [Thread #39]      Analyzing...
[1602775840.3442166]         [Thread #39]      Create read mapping...
[1602775855.8182323]         [Thread #39]    - [Thread #39] finished
