 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602776118.9788167]         [Thread #42]      Converting DIAMOND...
[1602776119.1028078]         [Thread #42]      Parsing DIAMOND...
[1602776119.471652]          [Thread #42]      Annotating...
[1602776119.77569]           [Thread #42]      Analyzing...
[1602776120.1099198]         [Thread #42]      Create read mapping...
[1602776135.3475971]         [Thread #42]    - [Thread #42] finished
[1602776114.7449007]         [Thread #43]    - [Thread #43] running on [1/28] CPUs
[1602776114.744986]          [Thread #43]      Creating output directories...
[1602776115.6937337]         [Thread #43]      Translating reads...
[1602776135.2583792]         [Thread #43]      Running DIAMOND...
[1602776140.8357024]         [Thread #43]      Converting DIAMOND...
[1602776140.9382255]         [Thread #43]      Parsing DIAMOND...
[1602776141.3148422]         [Thread #43]      Annotating...
[1602776141.580908]          [Thread #43]      Analyzing...
[1602776141.8926702]         [Thread #43]      Create read mapping...
[1602776157.8352084]         [Thread #43]    - [Thread #43] finished
[1602776136.748464]          [Thread #44]    - [Thread #44] running on [1/28] CPUs
[1602776136.7485456]         [Thread #44]      Creating output directories...
[1602776137.6362247]         [Thread #44]      Translating reads...
[1602776157.8093452]         [Thread #44]      Running DIAMOND...
[1602776163.5143301]         [Thread #44]      Converting DIAMOND...
[1602776163.6573248]         [Thread #44]      Parsing DIAMOND...
[1602776163.8256104]         [Thread #44]      Annotating...
[1602776164.2329195]         [Thread #44]      Analyzing...
[1602776164.5450647]         [Thread #44]      Create read mapping...
[1602776180.212794]          [Thread #44]    - [Thread #44] finished
[1602776159.303953]          [Thread #45]    - [Thread #45] running on [1/28] CPUs
[1602776159.3040352]         [Thread #45]      Creating output directories...
[1602776160.2103493]         [Thread #45]      Translating reads...
[1602776179.959513]          [Thread #45]      Running DIAMOND...
[1602776185.7628925]         [Thread #45]      Converting DIAMOND...
[1602776185.8831832]         [Thread #45]      Parsing DIAMOND...
[1602776186.0781348]         [Thread #45]      Annotating...
[1602776186.3109722]         [Thread #45]      Analyzing...
[1602776186.6329284]         [Thread #45]      Create read mapping...
[1602776202.0290844]         [Thread #45]    - [Thread #45] finished
[1602776181.53039]           [Thread #46]    - [Thread #46] running on [1/28] CPUs
[1602776181.530472]          [Thread #46]      Creating output directories...
[1602776182.3869703]         [Thread #46]      Translating reads...
[1602776202.2219024]         [Thread #46]      Running DIAMOND...
[1602776207.898431]          [Thread #46]      Converting DIAMOND...
[1602776208.0484679]         [Thread #46]      Parsing DIAMOND...
[1602776208.2646196]         [Thread #46]      Annotating...
[1602776208.5592835]         [Thread #46]      Analyzing...
[1602776208.8719049]         [Thread #46]      Create read mapping...
[1602776224.1281261]         [Thread #46]    - [Thread #46] finished
[1602776203.6660664]         [Thread #47]    - [Thread #47] running on [1/28] CPUs
[1602776203.6661062]         [Thread #47]      Creating output directories...
[1602776204.5391557]         [Thread #47]      Translating reads...
[1602776224.045319]          [Thread #47]      Running DIAMOND...
[1602776229.8203962]         [Thread #47]      Converting DIAMOND...
[1602776229.9627953]         [Thread #47]      Parsing DIAMOND...
[1602776230.1033862]         [Thread #47]      Annotating...
