 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602771855.8639781]         [Thread #55]      Analyzing...
[1602771856.1862545]         [Thread #55]      Create read mapping...
[1602771870.9925742]         [Thread #55]    - [Thread #55] finished
[1602771851.7316754]         [Thread #56]    - [Thread #56] running on [1/28] CPUs
[1602771851.731758]          [Thread #56]      Creating output directories...
[1602771851.7331522]         [Thread #56]      Translating reads...
[1602771870.9454484]         [Thread #56]      Running DIAMOND...
[1602771876.548538]          [Thread #56]      Converting DIAMOND...
[1602771876.6764977]         [Thread #56]      Parsing DIAMOND...
[1602771876.8950033]         [Thread #56]      Annotating...
[1602771877.2925072]         [Thread #56]      Analyzing...
[1602771877.5949864]         [Thread #56]      Create read mapping...
[1602771892.7840533]         [Thread #56]    - [Thread #56] finished
[1602771894.8920648]         [Thread #58]    - [Thread #58] running on [1/28] CPUs
[1602771894.8921456]         [Thread #58]      Creating output directories...
[1602771894.89362]           [Thread #58]      Translating reads...
[1602771914.5062556]         [Thread #58]      Running DIAMOND...
[1602771920.268393]          [Thread #58]      Converting DIAMOND...
[1602771920.3803926]         [Thread #58]      Parsing DIAMOND...
[1602771920.7432058]         [Thread #58]      Annotating...
[1602771921.1698506]         [Thread #58]      Analyzing...
[1602771921.4357553]         [Thread #58]      Create read mapping...
[1602771937.1810992]         [Thread #58]    - [Thread #58] finished
[1602771916.804663]          [Thread #59]    - [Thread #59] running on [1/28] CPUs
[1602771916.8047445]         [Thread #59]      Creating output directories...
[1602771916.8072665]         [Thread #59]      Translating reads...
[1602771937.100994]          [Thread #59]      Running DIAMOND...
[1602771942.7225263]         [Thread #59]      Converting DIAMOND...
[1602771942.8313048]         [Thread #59]      Parsing DIAMOND...
[1602771943.1360033]         [Thread #59]      Annotating...
[1602771943.4603977]         [Thread #59]      Analyzing...
[1602771943.758867]          [Thread #59]      Create read mapping...
[1602771958.1448898]         [Thread #59]    - [Thread #59] finished
[1602771939.3397593]         [Thread #60]    - [Thread #60] running on [1/28] CPUs
[1602771939.33984]           [Thread #60]      Creating output directories...
[1602771939.3413534]         [Thread #60]      Translating reads...
[1602771958.1154919]         [Thread #60]      Running DIAMOND...
[1602771963.6853895]         [Thread #60]      Converting DIAMOND...
[1602771963.7981532]         [Thread #60]      Parsing DIAMOND...
[1602771964.2479374]         [Thread #60]      Annotating...
[1602771964.5821257]         [Thread #60]      Analyzing...
[1602771964.5938797]         [Thread #60]      Create read mapping...
[1602771978.3044813]         [Thread #60]    - [Thread #60] finished
