PANGAEA Sample ID,Mean_Date [YY/MM/DD hh:mm]*,Mean_Lat*,Mean_Long*,Mean_Depth [m]*,Mean_Temperature [deg C]*,Mean Depth MLD Sigma [m]*,Mean_Salinity [PSU]*,Mean_Oxygen [umol/kg]*,Mean_Nitrates[umol/L]*,NO2 [umol/L]**,PO4 [umol/L]**,NO2NO3 [umol/L]**,SI [umol/L]**,"AMODIS:PAR8d,Einsteins/m-2/d-1",Okubo-Weiss,Lyapunov_exp.,grad_SST_adv,retention,Mean Depth Max Fluo [m]*,Mean Depth Max N2 [m]*,Mean Depth Max O2 [m]*,Mean Depth Min O2 [m]*,Mean Depth Nitracline [m]*,miTAG.SILVA.Taxo.Richness,miTAG.SILVA.Phylo.Diversity,miTAG.SILVA.Chao,miTAG.SILVA.ace,miTAG.SILVA.Shannon,OG.Shannon,OG.Richness,OG.Evenness,FC - heterotrophs [cells/mL],FC - autotrophs [cells/mL],FC - bacteria [cells/mL],FC - picoeukaryotes [cells/mL],minimum generation time [h]
TARA_B100000035,3/12/10 10:34,20.82,63.51,17.4,25.4,7,36.5,211.6,0.4,0.51,0.51,2.08,1.79,41.8,-0.03,0.07,0.23,18.83,21,23,28,378,88,2495,397,3653,3555,6.49,7.13,13952,0.747,NA,NA,NA,NA,13
TARA_B000000557,6/29/10 13:12,-17.32,42.29,67.1,25.3,17,35.2,185.0,0.8,0.03,0.00,0.06,2.51,29.2,0.21,0.33,NA,0.00,69,79,34,825,93,2496,397,3562,3484,6.64,7.12,15238,0.740,659427,233917,893344,2606,13
TARA_B100000963,4/15/11 13:10,-12.99,-95.99,5.5,25.3,35,35.8,200.2,4.6,0.14,0.68,6.20,1.20,41.8,-0.02,0.05,0.34,8.97,61,51,52,239,146,2412,387,3504,3459,6.60,7.17,14283,0.749,464267,155789,620056,7780,14
TARA_Y100001938,8/5/11 19:30,-9.07,-140.62,118.3,25.2,92,35.8,175.9,4.5,0.35,0.49,1.21,1.47,NA,0.02,0.04,NA,0.00,33,115,31,241,187,NA,NA,NA,NA,NA,NA,NA,NA,446146,17646,463792,8414,NA
TARA_Y100001936,8/5/11 19:30,-9.07,-140.62,118.3,25.2,92,35.8,175.9,4.5,0.35,0.49,1.21,1.47,NA,0.02,0.04,NA,0.00,33,115,31,241,187,NA,NA,NA,NA,NA,NA,NA,NA,446146,17646,463792,8414,NA
TARA_B100000676,8/5/11 19:30,-9.07,-140.62,118.3,25.2,92,35.8,175.9,4.5,0.35,0.49,1.21,1.47,NA,0.02,0.04,NA,0.00,33,115,31,241,187,3419,543,5265,5140,6.60,7.21,19030,0.732,446146,17646,463792,8414,13
TARA_Y100001934,8/5/11 19:30,-9.07,-140.62,118.3,25.2,92,35.8,175.9,4.5,0.35,0.49,1.21,1.47,NA,0.02,0.04,NA,0.00,33,115,31,241,187,NA,NA,NA,NA,NA,NA,NA,NA,446146,17646,463792,8414,NA
TARA_B100001248,10/4/11 17:49,31.52,-159.00,5.5,25.2,41,35.2,197.7,-1.0,0.00,0.01,0.01,2.43,NA,0.03,0.06,NA,1.39,113,52,54,456,276,2212,367,3275,3209,6.43,7.10,14422,0.741,416576,121337,537913,932,13
TARA_B100001027,4/3/11 18:10,-25.83,-111.78,5.6,25.1,53,36.4,200.5,-1.6,0.00,0.20,0.05,0.38,44.9,-0.03,0.03,0.36,61.78,176,73,93,484,360,2195,343,3095,3050,6.28,7.09,14079,0.742,387346,0,387346,436,15
TARA_B000000532,7/2/10 10:17,-21.38,39.56,5.4,25.1,67,35.3,199.9,-0.2,NA,NA,NA,NA,28.9,NA,NA,NA,NA,74,76,407,934,92,2348,377,3427,3298,6.64,7.11,13750,0.746,371432,149622,521054,1949,12
TARA_A100001391,1/9/10 7:25,27.16,34.83,5.4,25.1,45,40.0,188.8,-0.1,0.01,0.02,0.03,0.82,28.2,NA,0.00,NA,0.00,84,90,33,401,139,NA,NA,NA,NA,NA,NA,NA,NA,473351,204723,678074,1192,NA
TARA_A100001388,1/9/10 7:25,27.16,34.83,5.4,25.1,45,40.0,188.8,-0.1,0.01,0.02,0.03,0.82,28.2,NA,0.00,NA,0.00,84,90,33,401,139,2261,366,3358,3229,6.35,7.08,14134,0.740,473351,204723,678074,1192,13
TARA_R100001079,10/5/10 8:10,-8.78,-17.91,5.8,25.0,75,36.4,199.1,0.3,0.00,0.10,0.02,0.87,37.5,0.04,0.02,1.02,0.00,97,98,29,270,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TARA_B100000424,10/5/10 8:10,-8.78,-17.91,5.8,25.0,75,36.4,199.1,0.3,0.00,0.10,0.02,0.87,37.5,0.04,0.02,1.02,0.00,97,98,29,270,132,2743,431,3901,3816,6.64,7.12,17255,0.730,NA,NA,NA,NA,16
TARA_B100002051,1/9/12 12:41,25.51,-88.38,5.4,25.0,142,36.2,194.3,-2.2,0.02,0.00,0.05,1.22,NA,-3.49,0.06,NA,43.44,50,151,244,485,271,2942,466,4605,4424,6.73,7.19,17734,0.735,436017,89629,525647,1597,11
TARA_B100002052,1/9/12 21:30,25.66,-88.47,123.7,24.9,142,36.2,193.0,0.4,0.02,0.02,0.06,1.17,NA,-3.49,0.06,NA,43.44,50,151,244,485,271,3131,486,4745,4636,6.80,7.20,18707,0.732,602824,66588,669412,1253,11
TARA_B100000900,4/21/11 20:16,-5.25,-85.16,5.5,24.9,18,34.7,206.0,11.7,0.32,1.00,12.60,5.00,42.1,0.00,0.04,1.80,3.75,37,36,29,353,41,2293,357,3198,3093,6.62,7.13,13566,0.750,1032721,192335,1225056,19091,12
TARA_R100000234,5/17/10 15:34,-16.96,54.01,79.0,24.9,47,34.9,192.6,0.2,0.03,0.18,0.47,3.22,33.4,0.47,0.05,1.77,0.00,71,69,333,441,148,NA,NA,NA,NA,NA,NA,NA,NA,393152,153771,546924,3775,NA
TARA_B100000214,5/17/10 15:34,-16.96,54.01,79.0,24.9,47,34.9,192.6,0.2,0.03,0.18,0.47,3.22,33.4,0.47,0.05,1.77,0.00,71,69,333,441,148,2558,398,3632,3553,6.65,7.11,15564,0.737,393152,153771,546924,3775,13
TARA_Y100001973,7/28/11 19:36,-8.98,-139.20,113.3,24.7,71,36.1,179.9,2.3,0.10,0.59,2.80,1.80,39.6,0.00,0.02,NA,8.42,99,107,29,232,203,NA,NA,NA,NA,NA,NA,NA,NA,386471,83890,470361,1055,NA
